GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,StatusOption,31,0,0,0,13,0,9,0,9,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,TextFeedback,29,33,0,0,5,15,3,8,3,8
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,Feedback,62,150,0,0,23,59,5,35,5,35
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,CategoryFeedback,102,0,0,0,41,0,19,0,19,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,TextAnnotation,31,0,0,0,13,0,9,0,9,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,Status,43,0,0,0,19,0,10,0,10,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,ScreenshotFeedback,64,64,0,0,17,28,5,16,5,16
eu.supersede.if.api,eu.supersede.integration.api.feedback.repository.types,FeedbackStatus,17,0,0,0,7,0,5,0,5,0
eu.supersede.if.api,eu.supersede.integration.api.datastore.integration.types,SupersedePlatform,4,54,0,0,2,12,1,9,1,9
eu.supersede.if.api,eu.supersede.integration.api.dm.proxies,DMOptimizerProxy,167,12,4,0,28,4,4,2,2,2
eu.supersede.if.api,eu.supersede.integration.api.dm.proxies,DecisionMakingSystemProxy,9,50,0,0,3,8,0,3,0,3
eu.supersede.if.api,eu.supersede.integration.api.feedback.types,UserRole,24,0,0,0,3,0,1,0,1,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.types,ApiUser,46,0,2,0,18,0,12,0,11,0
eu.supersede.if.api,eu.supersede.integration.api.feedback.types,ApiUserPermission,31,0,0,0,13,0,9,0,9,0
eu.supersede.if.api,eu.supersede.integration.api.adaptation.proxies,AdapterProxy,51,306,2,2,5,41,3,6,1,6
eu.supersede.if.api,eu.supersede.integration.api.adaptation.proxies,AdaptationConfigurationProxy,0,60,0,0,0,11,0,4,0,4
eu.supersede.if.api,eu.supersede.integration.api.adaptation.proxies,ModelRepositoryProxy.new ArrayList() {...},0,10,0,0,0,1,0,1,0,1
eu.supersede.if.api,eu.supersede.integration.api.adaptation.proxies,ModelRepositoryProxy,296,439,30,16,48,68,21,12,1,9
eu.supersede.if.api,eu.supersede.integration.api.datastore.proxies,IFDataStoreProxy,178,144,6,4,30,22,6,5,2,4
eu.supersede.if.api,eu.supersede.integration.api.datastore.proxies,FEDataStoreProxy,60,513,21,25,15,59,21,10,0,8
