TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
eu.supersede.integration.api.feedback.orchestrator.types.ApiUserRole,60,61666,4,3,1.0,1.0,0.375,1.0,0,1.0
eu.supersede.integration.api.feedback.orchestrator.types.Application,60,68260,285,57,1.0,1.0,0.8461538461538461,1.0,5,0.6813186813186813
eu.supersede.integration.api.feedback.orchestrator.types.Configuration,60,158631,999,88,1.0,0.9444444444444444,0.7931034482758621,0.9310344827586207,7,0.6052631578947368
eu.supersede.integration.api.feedback.orchestrator.types.ConfigurationMechanism,60,65506,124,27,1.0,1.0,0.9375,1.0,0,0.8461538461538461
eu.supersede.integration.api.feedback.orchestrator.types.ConfigurationUserGroup,60,9459,100,23,1.0,1.0,1.0,1.0,0,0.5714285714285714
eu.supersede.integration.api.feedback.orchestrator.types.GeneralConfiguration,60,67999,238,38,1.0,0.9555555555555556,0.85,0.82,5,0.4230769230769231
eu.supersede.integration.api.feedback.orchestrator.types.Mechanism,60,67640,200,40,1.0,0.9591836734693877,0.8571428571428571,0.88,6,0.38271604938271603
eu.supersede.integration.api.feedback.orchestrator.types.Message,60,1877,9,4,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.orchestrator.types.MonitorConfiguration,60,75334,158,50,1.0,1.0,0.9555555555555556,1.0,0,0.8683127572016461
eu.supersede.integration.api.feedback.orchestrator.types.MonitorTool,60,63547,59,18,1.0,1.0,0.9473684210526315,1.0,0,1.0
eu.supersede.integration.api.feedback.orchestrator.types.MonitorType,60,63427,28,9,1.0,1.0,0.9166666666666666,1.0,0,1.0
eu.supersede.integration.api.feedback.orchestrator.types.OrchestratorItem,60,66531,16,5,1.0,1.0,0.5,1.0,0,0.5
eu.supersede.integration.api.feedback.orchestrator.types.Parameter,60,212590,752,60,0.9847328244274809,0.8947368421052632,0.75,0.7272727272727273,2,0.5539568345323741
eu.supersede.integration.api.feedback.orchestrator.types.User,60,8871,87,20,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.orchestrator.types.UserGroup,60,66123,84,19,1.0,1.0,0.9130434782608695,0.9285714285714286,1,0.7857142857142857
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterDefaultSerializer,60,17601,23,4,1.0,1.0,1.0,1.0,1,1.0
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterDeserializer,60,74811,46,6,0.3333333333333333,0.09090909090909091,0.0,0.04,2,0.0
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterSerializer,60,75448,119,14,1.0,1.0,1.0,0.8928571428571429,4,0.8928571428571429
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterSerializerModifier,60,71847,23,4,1.0,1.0,0.6,1.0,1,1.0
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterValueDeserializer,60,70895,6,2,0.75,0.4,0.3333333333333333,0.14285714285714285,1,0.14285714285714285
eu.supersede.integration.api.feedback.orchestrator.types.serialization.ParameterValueSerializer,60,73031,66,8,1.0,1.0,1.0,0.8,4,0.3
eu.supersede.integration.api.feedback.repository.types.AttachmentFeedback,60,64672,81,30,1.0,1.0,0.9,1.0,2,0.5581395348837209
eu.supersede.integration.api.feedback.repository.types.AudioFeedback,60,67309,102,31,1.0,1.0,0.9393939393939394,1.0,0,0.9772727272727273
eu.supersede.integration.api.feedback.repository.types.Category,60,1510,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.repository.types.CategoryFeedback,60,64826,117,31,1.0,1.0,0.9473684210526315,1.0,0,0.9090909090909091
eu.supersede.integration.api.feedback.repository.types.CategoryType,60,64039,56,23,1.0,1.0,0.9,1.0,0,0.8181818181818182
eu.supersede.integration.api.feedback.repository.types.ContextInformation,60,8616,118,38,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.repository.types.Feedback,60,71530,231,57,1.0,1.0,0.85,1.0,0,0.4810126582278481
eu.supersede.integration.api.feedback.repository.types.FeedbackComment,60,1463,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.repository.types.FeedbackStatus,60,2033,22,7,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.repository.types.RatingFeedback,60,64837,79,25,1.0,1.0,0.9411764705882353,1.0,0,0.9444444444444444
eu.supersede.integration.api.feedback.repository.types.ScreenshotFeedback,60,67782,117,33,1.0,1.0,0.9166666666666666,1.0,0,0.875
eu.supersede.integration.api.feedback.repository.types.Status,60,3663,52,16,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.feedback.repository.types.StatusOption,60,4044,35,12,1.0,1.0,1.0,1.0,0,0.8
eu.supersede.integration.api.feedback.repository.types.TextAnnotation,60,4241,51,15,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.feedback.repository.types.TextFeedback,60,64356,54,16,1.0,1.0,0.9047619047619048,1.0,0,0.8421052631578947
eu.supersede.integration.api.feedback.types.ApiUser,60,63708,45,14,1.0,1.0,0.8888888888888888,1.0,0,1.0
eu.supersede.integration.api.feedback.types.ApiUserPermission,60,3920,47,14,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.mail.types.Email,60,62745,67,25,1.0,1.0,0.45454545454545453,1.0,3,0.56
eu.supersede.integration.api.mdm.types.ActionParameter,60,3351,14,5,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.ActionTypes,60,61629,3,2,0.25,1.0,0.25,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Attribute,60,1893,16,6,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.CER_Rule,60,65738,64,20,1.0,1.0,0.8125,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Condition,60,2104,32,12,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.ECA_Rule,60,65107,111,37,1.0,1.0,0.8775510204081632,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Event,60,64954,97,35,1.0,1.0,0.9473684210526315,1.0,0,0.5
eu.supersede.integration.api.mdm.types.Feedback,60,1878,7,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.FeedbackClassification,60,2011,19,7,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Filter,60,3756,30,11,1.0,1.0,1.0,1.0,0,1.0
